campaign_id,campaign_name,project_id,project_name,client_id,client_name,campaign_start_date,campaign_end_date,campaign_state,is_active,campaign_status,campaign_is_active_by_date,total_visits,completed_visits,not_visited_visits,incid_visits,routes_total,routes_with_visits,workers_assigned,main_workers_assigned,worker_ids,worker_names,completion_rate,route_execution_rate,incidence_rate
2,Campaña Jan 2026 – Proyecto Mantenimiento 1,1,Proyecto Mantenimiento 1,1,Laboratorios Valtera España,2026-01-11,2026-02-25,En preparación,false,CERRADA,false,45,41,3,32,5,5,9,5,"11, 16, 24, 26, 28, 3, 34, 35, 36","Carlos, Javier, Laura, Lucía, Miguel, Pablo, Sara",0.9111,1.0,0.7111
60,Campaña Dec 2025 – Proyecto Mantenimiento 23,23,Proyecto Mantenimiento 23,12,Eurofarma Iberia,2025-12-15,2026-01-19,Activa,,CERRADA,false,33,29,3,23,2,2,4,2,"14, 17, 28, 45","Isabel, Javier",0.8788,1.0,0.697
71,Campaña Oct 2025 – Proyecto Mantenimiento 27,27,Proyecto Mantenimiento 27,14,Nexopharma SL,2025-10-17,2026-03-17,,false,CERRADA,false,40,36,4,27,6,6,9,5,"11, 14, 16, 19, 22, 29, 32, 42, 7","David, Elena, Isabel, Javier, José, Lucía, Pablo",0.9,1.0,0.675
63,Campaña Feb 2026 – Proyecto Formación 24,24,Proyecto Formación 24,13,Vitahealth España,2026-02-01,2026-05-17,Cerrada,false,CERRADA,false,16,13,1,10,4,4,6,4,"13, 15, 16, 26, 41, 44","José, Lucía, Miguel, Sara",0.8125,1.0,0.625
69,Campaña Oct 2025 – Proyecto Mantenimiento 26,26,Proyecto Mantenimiento 26,13,Vitahealth España,2025-10-18,2026-04-07,,false,CERRADA,false,19,17,2,13,2,2,4,2,"35, 37, 4, 43","Ana, Elena, Javier, Miguel",0.8947,1.0,0.6842
12,Campaña Jan 2026 – Proyecto Sell-In 7,7,Proyecto Sell-In 7,5,Salutis Consumer España,2026-01-14,2026-02-19,En preparación,false,CERRADA,false,45,38,2,32,4,4,8,4,"16, 17, 22, 3, 31, 35, 36, 7","Carlos, David, Isabel, José, Laura, Lucía, Miguel",0.8444,1.0,0.7111
20,Campaña Jan 2026 – Proyecto Auditoria 9,9,Proyecto Auditoria 9,5,Salutis Consumer España,2026-01-07,2026-06-12,Pausada,false,ACTIVA,true,13,12,1,10,4,4,7,4,"16, 23, 28, 31, 35, 41, 44","Isabel, Javier, José, Laura, Lucía, Miguel",0.9231,1.0,0.7692
36,Campaña Jan 2026 – Proyecto Formación 16,16,Proyecto Formación 16,8,Novapharma España,2026-01-30,2026-07-20,En preparación,true,ACTIVA,true,18,15,3,12,4,4,7,4,"13, 14, 22, 28, 31, 4, 45","Elena, Isabel, Javier, José, Sara",0.8333,1.0,0.6667
68,Campaña Feb 2026 – Proyecto Mantenimiento 25,25,Proyecto Mantenimiento 25,13,Vitahealth España,2026-02-17,2026-06-18,,false,ACTIVA,true,5,4,1,2,4,3,7,4,"1, 14, 16, 19, 34, 42, 45","David, Isabel, Javier, Lucía, Pablo",0.8,0.75,0.4
18,Campaña Jan 2026 – Proyecto Auditoria 9,9,Proyecto Auditoria 9,5,Salutis Consumer España,2026-01-28,2026-06-20,En preparación,false,ACTIVA,true,43,39,3,31,5,5,9,5,"11, 15, 2, 32, 33, 4, 42, 43, 45","Ana, Claudia, Elena, Javier, Laura, Lucía, Miguel, Pablo",0.907,1.0,0.7209
29,Campaña Jan 2026 – Proyecto Mantenimiento 13,13,Proyecto Mantenimiento 13,7,Dermocare Iberia,2026-01-30,2026-03-30,Cerrada,false,CERRADA,false,39,36,2,31,2,2,4,2,"17, 28, 31, 8","Carlos, Isabel, Javier",0.9231,1.0,0.7949
49,Campaña Oct 2025 – Proyecto Formación 20,20,Proyecto Formación 20,11,Salutem Laboratorios,2025-10-14,2026-01-04,,false,CERRADA,false,41,34,1,25,2,2,4,2,"1, 19, 29, 40","Claudia, David, Elena, Isabel",0.8293,1.0,0.6098
47,Campaña Jan 2026 – Proyecto Mantenimiento 19,19,Proyecto Mantenimiento 19,10,Clinipharma España,2026-01-13,2026-05-08,Pausada,false,CERRADA,false,43,39,4,23,5,5,8,4,"13, 16, 23, 28, 3, 33, 45, 7","David, Javier, Laura, Lucía, Sara",0.907,1.0,0.5349
